Open Time,Open Time,Open Price,High Price,Low Price,Close Price,Volume,Close Time,Quote Asset Volume,Number Of Trades,Taker Buy Base,Taker Buy Quote,Unused
2023-07-16 19:00:00,2023-07-16 19:00:00,30276.87,30298.71,30200.43,30252.93,632.9283,1689537599999,19150251.0201506,23239,262.08087,7929081.0433218,0
2023-07-16 20:00:00,2023-07-16 20:00:00,30252.94,30296.84,30236.0,30271.64,390.3725,1689541199999,11818105.0578635,18529,187.48938,5676029.6785769,0
2023-07-16 21:00:00,2023-07-16 21:00:00,30271.64,30314.48,30271.64,30292.65,302.90652,1689544799999,9175802.700141,13937,155.83849,4720707.2672541,0
2023-07-16 22:00:00,2023-07-16 22:00:00,30292.66,30361.0,30263.33,30321.03,570.79147,1689548399999,17307970.2027309,17705,266.41732,8078120.5310485,0
2023-07-16 23:00:00,2023-07-16 23:00:00,30321.02,30332.0,30122.95,30231.99,1117.86238,1689551999999,33778921.6333906,34358,505.02504,15259398.9232377,0
2023-07-17 00:00:00,2023-07-17 00:00:00,30232.0,30312.0,30176.03,30213.99,684.31951,1689555599999,20689257.5577743,29192,322.91766,9762998.3690709,0
2023-07-17 01:00:00,2023-07-17 01:00:00,30213.99,30336.96,30190.0,30291.05,614.42093,1689559199999,18599430.2208739,19892,342.71774,10373788.64396,0
2023-07-17 02:00:00,2023-07-17 02:00:00,30291.04,30300.0,30256.02,30262.0,323.64455,1689562799999,9800828.9253051,14479,151.6747,4593194.7603139,0
2023-07-17 03:00:00,2023-07-17 03:00:00,30261.99,30319.13,30255.7,30312.66,424.46915,1689566399999,12856056.841956,15198,222.60901,6741871.1787616,0
2023-07-17 04:00:00,2023-07-17 04:00:00,30312.66,30314.0,30272.01,30296.44,488.58381,1689569999999,14802880.6160176,15970,209.05041,6333460.1563129,0
2023-07-17 05:00:00,2023-07-17 05:00:00,30296.45,30323.05,30264.27,30264.27,587.36556,1689573599999,17794018.1052757,18826,257.43866,7799640.8330798,0
2023-07-17 06:00:00,2023-07-17 06:00:00,30264.28,30278.97,30232.06,30275.11,498.88542,1689577199999,15098964.2661165,17332,244.18945,7390324.508797,0
2023-07-17 07:00:00,2023-07-17 07:00:00,30275.11,30287.23,30243.1,30281.0,725.24724,1689580799999,21951527.0663832,17835,377.08909,11413459.5393106,0
2023-07-17 08:00:00,2023-07-17 08:00:00,30281.01,30328.0,30258.24,30261.9,1060.64404,1689584399999,32133230.130816,23182,606.46801,18374821.9517174,0
2023-07-17 09:00:00,2023-07-17 09:00:00,30261.9,30276.52,30150.0,30182.0,1375.66,1689587999999,41571237.2397942,36748,659.20187,19922886.5966017,0
2023-07-17 10:00:00,2023-07-17 10:00:00,30182.0,30209.99,29965.39,30163.93,3280.10931,1689591599999,98692354.1504811,71162,1405.94964,42312721.0900046,0
2023-07-17 11:00:00,2023-07-17 11:00:00,30163.93,30261.9,30144.39,30161.7,1255.91075,1689595199999,37941314.1687632,30933,580.16088,17529355.0576051,0
2023-07-17 12:00:00,2023-07-17 12:00:00,30161.7,30211.11,30032.0,30206.0,1788.39116,1689598799999,53852708.6307318,46933,844.89044,25440079.5647049,0
2023-07-17 13:00:00,2023-07-17 13:00:00,30206.01,30307.84,30160.01,30286.64,1421.61674,1689602399999,42976344.7286002,35331,711.02762,21492868.2080441,0
2023-07-17 14:00:00,2023-07-17 14:00:00,30286.65,30308.0,30230.38,30274.8,1020.42617,1689605999999,30886097.6683567,27168,376.35727,11391691.6490111,0
2023-07-17 15:00:00,2023-07-17 15:00:00,30274.81,30291.74,30112.99,30174.83,968.95706,1689609599999,29257655.8744411,31696,370.68301,11194354.3381161,0
2023-07-17 16:00:00,2023-07-17 16:00:00,30174.84,30241.03,30078.0,30144.01,1466.07769,1689613199999,44217828.6673753,42369,806.2395,24322214.9066123,0
2023-07-17 17:00:00,2023-07-17 17:00:00,30144.0,30159.99,29920.0,30030.67,2742.68881,1689616799999,82421663.8143806,67752,1147.10626,34474844.7030115,0
2023-07-17 18:00:00,2023-07-17 18:00:00,30030.67,30060.0,29659.2,29802.39,4222.31153,1689620399999,126019654.6510662,87483,1794.9329,53572576.645063,0
2023-07-17 19:00:00,2023-07-17 19:00:00,29802.38,29934.0,29754.31,29884.39,1833.8101,1689623999999,54741634.5983202,48144,956.13783,28542132.7033648,0
2023-07-17 20:00:00,2023-07-17 20:00:00,29884.4,29991.91,29881.41,29926.19,956.21448,1689627599999,28626694.4458978,27663,454.85658,13616524.4817766,0
2023-07-17 21:00:00,2023-07-17 21:00:00,29926.19,30285.71,29926.18,30242.59,1575.46766,1689631199999,47431735.9934382,45006,849.47335,25570714.6832796,0
2023-07-17 22:00:00,2023-07-17 22:00:00,30242.6,30267.82,30101.7,30106.74,988.85434,1689634799999,29852311.5174437,28676,398.79995,12040370.6890058,0
2023-07-17 23:00:00,2023-07-17 23:00:00,30106.74,30169.23,30074.54,30138.0,578.69238,1689638399999,17432214.3637344,17496,262.2471,7899060.197245,0
2023-07-18 00:00:00,2023-07-18 00:00:00,30138.01,30194.0,30105.55,30168.01,677.7782,1689641999999,20437503.6935373,20589,315.10941,9502361.4291301,0
2023-07-18 01:00:00,2023-07-18 01:00:00,30168.01,30239.78,30145.55,30215.84,784.17207,1689645599999,23672766.8959315,21002,458.28904,13833411.7579614,0
2023-07-18 02:00:00,2023-07-18 02:00:00,30215.85,30227.99,30100.85,30120.0,774.95494,1689649199999,23369380.604762,16853,227.92554,6873116.3253053,0
